"s"	"Fx"	"Fy"	"Fz"
0.14400	0.11276	-0.06653	-0.15701
0.14500	0.11353	-0.06592	-0.15717
0.14600	0.11246	-0.06500	-0.15717
0.14700	0.11261	-0.06577	-0.15762
0.14800	0.11261	-0.06607	-0.15884
0.14900	0.11353	-0.06668	-0.15762
0.15000	0.11276	-0.06607	-0.15778
0.15100	0.11353	-0.06668	-0.15747
0.15200	0.11307	-0.06622	-0.15778
0.15300	0.11505	-0.06546	-0.15686
0.15400	0.11414	-0.06531	-0.15793
0.15500	0.11307	-0.06531	-0.15808
0.15600	0.11307	-0.06638	-0.15625
0.15700	0.11444	-0.06531	-0.15793
0.15800	0.11337	-0.06470	-0.15717
0.15900	0.11276	-0.06577	-0.15884
0.16000	0.11230	-0.06592	-0.15717
0.16100	0.11292	-0.06668	-0.15656
0.16200	0.11230	-0.06577	-0.15823
0.16300	0.11444	-0.06485	-0.15808
0.16400	0.11414	-0.06531	-0.15594
0.16500	0.11307	-0.06653	-0.15839
0.16600	0.11337	-0.06531	-0.15701
0.16700	0.11353	-0.06531	-0.15686
0.16800	0.11398	-0.06531	-0.15793
0.16900	0.11261	-0.06592	-0.15869
0.17000	0.11429	-0.06485	-0.15656
0.17100	0.11414	-0.06622	-0.15823
0.17200	0.11398	-0.06546	-0.15640
0.17300	0.11307	-0.06454	-0.15732
0.17400	0.11307	-0.06485	-0.15793
0.17500	0.11490	-0.06622	-0.15747
0.17600	0.11368	-0.06699	-0.15732
0.17700	0.11230	-0.06454	-0.15869
0.17800	0.11398	-0.06470	-0.15823
0.17900	0.11230	-0.06531	-0.15701
0.18000	0.11261	-0.06516	-0.15671
0.18100	0.11246	-0.06622	-0.15747
0.18200	0.11322	-0.06668	-0.15778
0.18300	0.11368	-0.06470	-0.15671
0.18400	0.11368	-0.06561	-0.15671
0.18500	0.11475	-0.06577	-0.15900
0.18600	0.11368	-0.06470	-0.15717
0.18700	0.11322	-0.06531	-0.15778
0.18800	0.11322	-0.06561	-0.15671
0.18900	0.11414	-0.06744	-0.15854
0.19000	0.11276	-0.06622	-0.15839
0.19100	0.11429	-0.06592	-0.15732
0.19200	0.11398	-0.06622	-0.15671
0.19300	0.11368	-0.06592	-0.15640
0.19400	0.11429	-0.06592	-0.15793
0.19500	0.11246	-0.06638	-0.15732
0.19600	0.11276	-0.06592	-0.15656
0.19700	0.11292	-0.06592	-0.15717
0.19800	0.11230	-0.06607	-0.15732
0.19900	0.11307	-0.06607	-0.15823
0.20000	0.11353	-0.06592	-0.15762
0.20100	0.11322	-0.06683	-0.15701
0.20200	0.11414	-0.06531	-0.15717
0.20300	0.11276	-0.06516	-0.15839
0.20400	0.11215	-0.06546	-0.15762
0.20500	0.11246	-0.06668	-0.15762
0.20600	0.11307	-0.06638	-0.15732
0.20700	0.11414	-0.06760	-0.15762
0.20800	0.11307	-0.06485	-0.15793
0.20900	0.11322	-0.06668	-0.15762
0.21000	0.11353	-0.06577	-0.15747
0.21100	0.11414	-0.06577	-0.15686
0.21200	0.11307	-0.06592	-0.15793
0.21300	0.11246	-0.06699	-0.15671
0.21400	0.11429	-0.06592	-0.15778
0.21500	0.11337	-0.06546	-0.15747
0.21600	0.11353	-0.06607	-0.15732
0.21700	0.11200	-0.06638	-0.15686
0.21800	0.11368	-0.06760	-0.15854
0.21900	0.11322	-0.06653	-0.15823
0.22000	0.11459	-0.06622	-0.15762
0.22100	0.11368	-0.06729	-0.15869
0.22200	0.11322	-0.06577	-0.15839
0.22300	0.11368	-0.06561	-0.15686
0.22400	0.11414	-0.06561	-0.15884
0.22500	0.11276	-0.06668	-0.15823
0.22600	0.11337	-0.06500	-0.15839
0.22700	0.11276	-0.06622	-0.15717
0.22800	0.11353	-0.06592	-0.15762
0.22900	0.11307	-0.06622	-0.15747
0.23000	0.11353	-0.06607	-0.15823
0.23100	0.11261	-0.06531	-0.15869
0.23200	0.11292	-0.06638	-0.15793
0.23300	0.11200	-0.06699	-0.15793
0.23400	0.11368	-0.06653	-0.15701
0.23500	0.11292	-0.06577	-0.15701
0.23600	0.11292	-0.06561	-0.15900
0.23700	0.11169	-0.06638	-0.15884
0.23800	0.11246	-0.06577	-0.15778
0.23900	0.11292	-0.06531	-0.15747
0.24000	0.11185	-0.06531	-0.15854
0.24100	0.11337	-0.06516	-0.15686
0.24200	0.11429	-0.06668	-0.15839
0.24300	0.11322	-0.06577	-0.15701
0.24400	0.11337	-0.06653	-0.15869
0.24500	0.11322	-0.06470	-0.15808
0.24600	0.11368	-0.06622	-0.15717
0.24700	0.11200	-0.06622	-0.15793
0.24800	0.11215	-0.06485	-0.15808
0.24900	0.11307	-0.06577	-0.15808
0.25000	0.11230	-0.06714	-0.15747
0.25100	0.11337	-0.06546	-0.15732
0.25200	0.11276	-0.06485	-0.15823
0.25300	0.11230	-0.06683	-0.15778
0.25400	0.11459	-0.06668	-0.15671
0.25500	0.11307	-0.06638	-0.15640
0.25600	0.11292	-0.06561	-0.15778
0.25700	0.11230	-0.06668	-0.15610
0.25800	0.11337	-0.06454	-0.15915
0.25900	0.11276	-0.06561	-0.15732
0.26000	0.11276	-0.06561	-0.15854
0.26100	0.11276	-0.06561	-0.15778
0.26200	0.11246	-0.06577	-0.15762
0.26300	0.11307	-0.06577	-0.15717
0.26400	0.11185	-0.06485	-0.15762
0.26500	0.11398	-0.06638	-0.15717
0.26600	0.11353	-0.06653	-0.15869
0.26700	0.11368	-0.06592	-0.15717
